year,round,driverId,points,position,positionText,Wins
2010,1,alonso,25,1,1,1
2010,1,massa,18,2,2,0
2010,1,hamilton,15,3,3,0
2010,1,vettel,12,4,4,0
2010,1,rosberg,10,5,5,0
2010,1,michael_schumacher,8,6,6,0
2010,1,button,6,7,7,0
2010,1,webber,4,8,8,0
2010,1,liuzzi,2,9,9,0
2010,1,barrichello,1,10,10,0
2010,1,kubica,0,11,11,0
2010,1,sutil,0,12,12,0
2010,1,alguersuari,0,13,13,0
2010,1,hulkenberg,0,14,14,0
2010,1,kovalainen,0,15,15,0
2010,1,buemi,0,16,16,0
2010,1,trulli,0,17,17,0
2010,1,rosa,0,18,18,0
2010,1,bruno_senna,0,19,19,0
2010,1,glock,0,20,20,0
2010,1,petrov,0,21,21,0
2010,1,kobayashi,0,22,22,0
2010,1,grassi,0,23,23,0
2010,1,chandhok,0,24,24,0
2011,1,vettel,25,1,1,1
2011,1,hamilton,18,2,2,0
2011,1,petrov,15,3,3,0
2011,1,alonso,12,4,4,0
2011,1,webber,10,5,5,0
2011,1,button,8,6,6,0
2011,1,massa,6,7,7,0
2011,1,buemi,4,8,8,0
2011,1,sutil,2,9,9,0
2011,1,resta,1,10,10,0
2011,1,alguersuari,0,11,11,0
2011,1,heidfeld,0,12,12,0
2011,1,trulli,0,13,13,0
2011,1,ambrosio,0,14,14,0
2011,1,glock,0,15,15,0
2011,1,barrichello,0,16,16,0
2011,1,rosberg,0,17,17,0
2011,1,kovalainen,0,18,18,0
2011,1,michael_schumacher,0,19,19,0
2011,1,maldonado,0,20,20,0
2012,1,button,25,1,1,1
2012,1,vettel,18,2,2,0
2012,1,hamilton,15,3,3,0
2012,1,webber,12,4,4,0
2012,1,alonso,10,5,5,0
2012,1,kobayashi,8,6,6,0
2012,1,raikkonen,6,7,7,0
2012,1,perez,4,8,8,0
2012,1,ricciardo,2,9,9,0
2012,1,resta,1,10,10,0
2012,1,vergne,0,11,11,0
2012,1,rosberg,0,12,12,0
2012,1,maldonado,0,13,13,0
2012,1,glock,0,14,14,0
2012,1,pic,0,15,15,0
2012,1,bruno_senna,0,16,16,0
2012,1,massa,0,17,17,0
2012,1,kovalainen,0,18,18,0
2012,1,petrov,0,19,19,0
2012,1,michael_schumacher,0,20,20,0
2012,1,grosjean,0,21,21,0
2012,1,hulkenberg,0,22,22,0
2012,1,rosa,0,23,23,0
2012,1,karthikeyan,0,24,24,0
2013,1,raikkonen,25,1,1,1
2013,1,alonso,18,2,2,0
2013,1,vettel,15,3,3,0
2013,1,massa,12,4,4,0
2013,1,hamilton,10,5,5,0
2013,1,webber,8,6,6,0
2013,1,sutil,6,7,7,0
2013,1,resta,4,8,8,0
2013,1,button,2,9,9,0
2013,1,grosjean,1,10,10,0
2013,1,perez,0,11,11,0
2013,1,vergne,0,12,12,0
2013,1,gutierrez,0,13,13,0
2013,1,bottas,0,14,14,0
2013,1,jules_bianchi,0,15,15,0
2013,1,pic,0,16,16,0
2013,1,chilton,0,17,17,0
2013,1,garde,0,18,18,0
2013,1,ricciardo,0,19,19,0
2013,1,rosberg,0,20,20,0
2013,1,maldonado,0,21,21,0
2013,1,hulkenberg,0,22,22,0
2014,1,rosberg,25,1,1,1
2014,1,kevin_magnussen,18,2,2,0
2014,1,button,15,3,3,0
2014,1,alonso,12,4,4,0
2014,1,bottas,10,5,5,0
2014,1,hulkenberg,8,6,6,0
2014,1,raikkonen,6,7,7,0
2014,1,vergne,4,8,8,0
2014,1,kvyat,2,9,9,0
2014,1,perez,1,10,10,0
2014,1,sutil,0,11,11,0
2014,1,gutierrez,0,12,12,0
2014,1,chilton,0,13,13,0
2014,1,jules_bianchi,0,14,14,0
2014,1,grosjean,0,15,15,0
2014,1,maldonado,0,16,16,0
2014,1,ericsson,0,17,17,0
2014,1,vettel,0,18,18,0
2014,1,hamilton,0,19,19,0
2014,1,massa,0,20,20,0
2014,1,kobayashi,0,21,21,0
2014,1,ricciardo,0,22,22,0
2015,1,hamilton,25,1,1,1
2015,1,rosberg,18,2,2,0
2015,1,vettel,15,3,3,0
2015,1,massa,12,4,4,0
2015,1,nasr,10,5,5,0
2015,1,ricciardo,8,6,6,0
2015,1,hulkenberg,6,7,7,0
2015,1,ericsson,4,8,8,0
2015,1,sainz,2,9,9,0
2015,1,perez,1,10,10,0
2015,1,button,0,11,11,0
2015,1,raikkonen,0,12,12,0
2015,1,max_verstappen,0,13,13,0
2015,1,grosjean,0,14,14,0
2015,1,maldonado,0,15,15,0
2015,1,kvyat,0,16,16,0
2015,1,kevin_magnussen,0,17,17,0
2015,1,bottas,0,18,18,0
2016,1,rosberg,25,1,1,1
2016,1,hamilton,18,2,2,0
2016,1,vettel,15,3,3,0
2016,1,ricciardo,12,4,4,0
2016,1,massa,10,5,5,0
2016,1,grosjean,8,6,6,0
2016,1,hulkenberg,6,7,7,0
2016,1,bottas,4,8,8,0
2016,1,sainz,2,9,9,0
2016,1,max_verstappen,1,10,10,0
2016,1,jolyon_palmer,0,11,11,0
2016,1,kevin_magnussen,0,12,12,0
2016,1,perez,0,13,13,0
2016,1,button,0,14,14,0
2016,1,nasr,0,15,15,0
2016,1,wehrlein,0,16,16,0
2016,1,ericsson,0,17,17,0
2016,1,raikkonen,0,18,18,0
2016,1,haryanto,0,19,19,0
2016,1,gutierrez,0,20,20,0
2016,1,alonso,0,21,21,0
2016,1,kvyat,0,22,22,0
2017,1,vettel,25,1,1,1
2017,1,hamilton,18,2,2,0
2017,1,bottas,15,3,3,0
2017,1,raikkonen,12,4,4,0
2017,1,max_verstappen,10,5,5,0
2017,1,massa,8,6,6,0
2017,1,perez,6,7,7,0
2017,1,sainz,4,8,8,0
2017,1,kvyat,2,9,9,0
2017,1,ocon,1,10,10,0
2017,1,hulkenberg,0,11,11,0
2017,1,giovinazzi,0,12,12,0
2017,1,vandoorne,0,13,13,0
2017,1,alonso,0,14,14,0
2017,1,kevin_magnussen,0,15,15,0
2017,1,stroll,0,16,16,0
2017,1,ricciardo,0,17,17,0
2017,1,ericsson,0,18,18,0
2017,1,jolyon_palmer,0,19,19,0
2017,1,grosjean,0,20,20,0
2018,1,vettel,25,1,1,1
2018,1,hamilton,18,2,2,0
2018,1,raikkonen,15,3,3,0
2018,1,ricciardo,12,4,4,0
2018,1,alonso,10,5,5,0
2018,1,max_verstappen,8,6,6,0
2018,1,hulkenberg,6,7,7,0
2018,1,bottas,4,8,8,0
2018,1,vandoorne,2,9,9,0
2018,1,sainz,1,10,10,0
2018,1,perez,0,11,11,0
2018,1,ocon,0,12,12,0
2018,1,leclerc,0,13,13,0
2018,1,stroll,0,14,14,0
2018,1,brendon_hartley,0,15,15,0
2018,1,grosjean,0,16,16,0
2018,1,kevin_magnussen,0,17,17,0
2018,1,gasly,0,18,18,0
2018,1,ericsson,0,19,19,0
2018,1,sirotkin,0,20,20,0
2019,1,bottas,26,1,1,1
2019,1,hamilton,18,2,2,0
2019,1,max_verstappen,15,3,3,0
2019,1,vettel,12,4,4,0
2019,1,leclerc,10,5,5,0
2019,1,kevin_magnussen,8,6,6,0
2019,1,hulkenberg,6,7,7,0
2019,1,raikkonen,4,8,8,0
2019,1,stroll,2,9,9,0
2019,1,kvyat,1,10,10,0
2019,1,gasly,0,11,11,0
2019,1,norris,0,12,12,0
2019,1,perez,0,13,13,0
2019,1,albon,0,14,14,0
2019,1,giovinazzi,0,15,15,0
2019,1,russell,0,16,16,0
2019,1,kubica,0,17,17,0
2019,1,grosjean,0,18,18,0
2019,1,ricciardo,0,19,19,0
2019,1,sainz,0,20,20,0
2020,1,bottas,25,1,1,1
2020,1,leclerc,18,2,2,0
2020,1,norris,16,3,3,0
2020,1,hamilton,12,4,4,0
2020,1,sainz,10,5,5,0
2020,1,perez,8,6,6,0
2020,1,gasly,6,7,7,0
2020,1,ocon,4,8,8,0
2020,1,giovinazzi,2,9,9,0
2020,1,vettel,1,10,10,0
2020,1,latifi,0,11,11,0
2020,1,kvyat,0,12,12,0
2020,1,albon,0,13,13,0
2020,1,raikkonen,0,14,14,0
2020,1,russell,0,15,15,0
2020,1,grosjean,0,16,16,0
2020,1,kevin_magnussen,0,17,17,0
2020,1,stroll,0,18,18,0
2020,1,ricciardo,0,19,19,0
2020,1,max_verstappen,0,20,20,0
2021,1,hamilton,25,1,1,1
2021,1,max_verstappen,18,2,2,0
2021,1,bottas,16,3,3,0
2021,1,norris,12,4,4,0
2021,1,perez,10,5,5,0
2021,1,leclerc,8,6,6,0
2021,1,ricciardo,6,7,7,0
2021,1,sainz,4,8,8,0
2021,1,tsunoda,2,9,9,0
2021,1,stroll,1,10,10,0
2021,1,raikkonen,0,11,11,0
2021,1,giovinazzi,0,12,12,0
2021,1,ocon,0,13,13,0
2021,1,russell,0,14,14,0
2021,1,vettel,0,15,15,0
2021,1,mick_schumacher,0,16,16,0
2021,1,gasly,0,17,17,0
2021,1,latifi,0,18,18,0
2021,1,alonso,0,19,19,0
2021,1,mazepin,0,20,20,0
2022,1,leclerc,26,1,1,1
2022,1,sainz,18,2,2,0
2022,1,hamilton,15,3,3,0
2022,1,russell,12,4,4,0
2022,1,kevin_magnussen,10,5,5,0
2022,1,bottas,8,6,6,0
2022,1,ocon,6,7,7,0
2022,1,tsunoda,4,8,8,0
2022,1,alonso,2,9,9,0
2022,1,zhou,1,10,10,0
2022,1,mick_schumacher,0,11,11,0
2022,1,stroll,0,12,12,0
2022,1,albon,0,13,13,0
2022,1,ricciardo,0,14,14,0
2022,1,norris,0,15,15,0
2022,1,latifi,0,16,16,0
2022,1,hulkenberg,0,17,17,0
2022,1,perez,0,18,18,0
2022,1,max_verstappen,0,19,19,0
2022,1,gasly,0,20,20,0
2010,2,alonso,37,1,1,1
2010,2,massa,33,2,2,0
2010,2,button,31,3,3,1
2010,2,hamilton,23,4,4,0
